----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
          Linear-252             [-1, 49, 1536]         787,968
         Softmax-253           [-1, 16, 49, 49]               0
         Dropout-254           [-1, 16, 49, 49]               0
          Linear-255              [-1, 49, 512]         262,656
         Dropout-256              [-1, 49, 512]               0
 WindowAttention-257              [-1, 49, 512]               0
        DropPath-258          [-1, 14, 14, 512]               0
       LayerNorm-259             [-1, 196, 512]           1,024
          Linear-260            [-1, 196, 2048]       1,050,624
            GELU-261            [-1, 196, 2048]               0
         Dropout-262            [-1, 196, 2048]               0
          Linear-263             [-1, 196, 512]       1,049,088
         Dropout-264             [-1, 196, 512]               0
             Mlp-265             [-1, 196, 512]               0
        DropPath-266             [-1, 196, 512]               0
SwinTransformerBlock-267          [-1, 14, 14, 512]               0
       LayerNorm-268          [-1, 14, 14, 512]           1,024
          Linear-269             [-1, 49, 1536]         787,968
         Softmax-270           [-1, 16, 49, 49]               0
         Dropout-271           [-1, 16, 49, 49]               0
          Linear-272              [-1, 49, 512]         262,656
         Dropout-273              [-1, 49, 512]               0
 WindowAttention-274              [-1, 49, 512]               0
        DropPath-275          [-1, 14, 14, 512]               0
       LayerNorm-276             [-1, 196, 512]           1,024
          Linear-277            [-1, 196, 2048]       1,050,624
            GELU-278            [-1, 196, 2048]               0
         Dropout-279            [-1, 196, 2048]               0
          Linear-280             [-1, 196, 512]       1,049,088
         Dropout-281             [-1, 196, 512]               0
             Mlp-282             [-1, 196, 512]               0
        DropPath-283             [-1, 196, 512]               0
SwinTransformerBlock-284          [-1, 14, 14, 512]               0
       LayerNorm-285          [-1, 14, 14, 512]           1,024
          Linear-286             [-1, 49, 1536]         787,968
         Softmax-287           [-1, 16, 49, 49]               0
         Dropout-288           [-1, 16, 49, 49]               0
          Linear-289              [-1, 49, 512]         262,656
         Dropout-290              [-1, 49, 512]               0
 WindowAttention-291              [-1, 49, 512]               0
        DropPath-292          [-1, 14, 14, 512]               0
       LayerNorm-293             [-1, 196, 512]           1,024
          Linear-294            [-1, 196, 2048]       1,050,624
            GELU-295            [-1, 196, 2048]               0
         Dropout-296            [-1, 196, 2048]               0
          Linear-297             [-1, 196, 512]       1,049,088
         Dropout-298             [-1, 196, 512]               0
             Mlp-299             [-1, 196, 512]               0
        DropPath-300             [-1, 196, 512]               0
SwinTransformerBlock-301          [-1, 14, 14, 512]               0
       LayerNorm-302          [-1, 14, 14, 512]           1,024
          Linear-303             [-1, 49, 1536]         787,968
         Softmax-304           [-1, 16, 49, 49]               0
         Dropout-305           [-1, 16, 49, 49]               0
          Linear-306              [-1, 49, 512]         262,656
         Dropout-307              [-1, 49, 512]               0
 WindowAttention-308              [-1, 49, 512]               0
        DropPath-309          [-1, 14, 14, 512]               0
       LayerNorm-310             [-1, 196, 512]           1,024
          Linear-311            [-1, 196, 2048]       1,050,624
